,网名,国家,省会,城市,手机终端,文本
119,ljns的小颜,中国,福建,泉州,微博网页版,【网评】奋进新征程，共绘发展蓝图十四届全国人大三次会议日上午盛大开幕，国务院总理李强所作的政府工作报告，如同一座航标，为国家发展指引新方向，也在社会各界引发强烈反响报告对过去一年工作的总结全面且务实，用数据和事实说话，清晰展现了我国在复杂多变的国内外形势下，依然在经济发展、全文
120,用户7573613035008,中国,重庆,重庆,荣耀X50,问界带你春游：一场科技与自然的邂逅寒冬褪去，万物复苏，正是春游好时节想要一场说走就走的旅行，又不想被传统燃油车的局限所束缚？问界，这款集科技与豪华于一身的智能电动车，将带你开启一场别样的春游体验打开全景天窗，让温暖的阳光洒满车内，呼吸着清晨新鲜的空气，全文
121,在屋檐下学唱歌的永丰,中国,山东,烟台,HarmonyOS设备,最近想减肥不知道怎么吃，上橙篇问了一下，居然还真给了我一周的减肥食谱科技改变生活啊真是
122,不凋谢月光X,中国,河南,郑州,Android,高科技改变生活
123,乐悠悠结城美柑1985j1976,中国,海南,海口,HUAWEI P40 Pro 5G,#懂事的男友已开始安排美甲#原本以为换美甲得去美甲店挑半天，现在男友用两分钟就搞定了，真是科技改变生活啊！
124,总裁视野,中国,重庆,重庆,,#问界开启预订万元起#科技发展让汽车不再只是交通工具，更像是生活的好帮手感受它带来的科技魅力，体验科技改变生活的力量#余承东称问界是全能车王#
125,长宁发布,中国,四川,宜宾,微博网页版,【李琴：乡村沃野奏响青春“奋进乐章”】#长宁#在宜宾市长宁县花滩镇大冲村的广袤田野间，李琴的名字家喻户晓，乡亲们谈及她，无不竖起大拇指称赞这位曾在城市拥有安稳工作的青年，毅然决然踏上返乡创业之路，投身肉兔养殖产业她不仅实现了自我人生价值的升华，更如同一盏明灯，引领着乡亲们奔全文
126,_Sylviawu,中国,上海,上海,iPhone客户端,杭州公司出差话说杭州东网约车好方便，科技改变生活
127,上海文艺出版社,中国,上海,上海,微博网页版,探照灯好书、月入围部科技和新知发布，《#技术与魔法#》入围鼓掌内容简介：我们生活在一个被技术统治的世界，个体被定义为一个完全可通约的占位符，就像仓库堆里的一块木材，计量单位前的一个数字，重要的不再是个体的可能、负责、意义，而是有一个随便谁占据那个位置本书提醒我们，这种技全文
128,网球馆看漫画,中国,吉林,白山,HarmonyOS设备,#懂事的男友已开始安排美甲#以前只知道能查资料，现在居然还能设计美甲，这是什么宝藏功能，我直接爱住！生活处处有惊喜，科技真的改变生活！
129,ljns的小颜,中国,福建,泉州,微博网页版,【网评】奋进新征程，共绘发展蓝图十四届全国人大三次会议日上午盛大开幕，国务院总理李强所作的政府工作报告，如同一座航标，为国家发展指引新方向，也在社会各界引发强烈反响报告对过去一年工作的总结全面且务实，用数据和事实说话，清晰展现了我国在复杂多变的国内外形势下，依然在经济发展、全文
130,用户7573613035008,中国,重庆,重庆,荣耀X50,问界带你春游：一场科技与自然的邂逅寒冬褪去，万物复苏，正是春游好时节想要一场说走就走的旅行，又不想被传统燃油车的局限所束缚？问界，这款集科技与豪华于一身的智能电动车，将带你开启一场别样的春游体验打开全景天窗，让温暖的阳光洒满车内，呼吸着清晨新鲜的空气，全文
131,在屋檐下学唱歌的永丰,中国,山东,烟台,HarmonyOS设备,最近想减肥不知道怎么吃，上橙篇问了一下，居然还真给了我一周的减肥食谱科技改变生活啊真是
132,不凋谢月光X,中国,河南,郑州,Android,高科技改变生活
133,乐悠悠结城美柑1985j1976,中国,海南,海口,HUAWEI P40 Pro 5G,#懂事的男友已开始安排美甲#原本以为换美甲得去美甲店挑半天，现在男友用两分钟就搞定了，真是科技改变生活啊！
134,总裁视野,中国,重庆,重庆,,#问界开启预订万元起#科技发展让汽车不再只是交通工具，更像是生活的好帮手感受它带来的科技魅力，体验科技改变生活的力量#余承东称问界是全能车王#
135,姓帅的乐山人,中国,四川,成都,iPhone客户端,大疆无人机新产品到店开箱仪式！机场开启无人机智能运维新时代！！++#数码科技#科技改变生活#大疆无人机成都·成都数码广场姓帅的乐山人的微博视频
136,长宁发布,中国,四川,宜宾,微博网页版,【李琴：乡村沃野奏响青春“奋进乐章”】#长宁#在宜宾市长宁县花滩镇大冲村的广袤田野间，李琴的名字家喻户晓，乡亲们谈及她，无不竖起大拇指称赞这位曾在城市拥有安稳工作的青年，毅然决然踏上返乡创业之路，投身肉兔养殖产业她不仅实现了自我人生价值的升华，更如同一盏明灯，引领着乡亲们奔全文
137,_Sylviawu,中国,上海,上海,iPhone客户端,杭州公司出差话说杭州东网约车好方便，科技改变生活
138,上海文艺出版社,中国,上海,上海,微博网页版,探照灯好书、月入围部科技和新知发布，《#技术与魔法#》入围鼓掌内容简介：我们生活在一个被技术统治的世界，个体被定义为一个完全可通约的占位符，就像仓库堆里的一块木材，计量单位前的一个数字，重要的不再是个体的可能、负责、意义，而是有一个随便谁占据那个位置本书提醒我们，这种技全文
139,网球馆看漫画,中国,吉林,白山,HarmonyOS设备,#懂事的男友已开始安排美甲#以前只知道能查资料，现在居然还能设计美甲，这是什么宝藏功能，我直接爱住！生活处处有惊喜，科技真的改变生活！
140,用户7573613035008,中国,重庆,重庆,荣耀X50,问界带你春游：一场科技与自然的邂逅寒冬褪去，万物复苏，正是春游好时节想要一场说走就走的旅行，又不想被传统燃油车的局限所束缚？问界，这款集科技与豪华于一身的智能电动车，将带你开启一场别样的春游体验打开全景天窗，让温暖的阳光洒满车内，呼吸着清晨新鲜的空气，全文
141,在屋檐下学唱歌的永丰,中国,山东,烟台,HarmonyOS设备,最近想减肥不知道怎么吃，上橙篇问了一下，居然还真给了我一周的减肥食谱科技改变生活啊真是
142,不凋谢月光X,中国,河南,郑州,Android,高科技改变生活
143,乐悠悠结城美柑1985j1976,中国,海南,海口,HUAWEI P40 Pro 5G,#懂事的男友已开始安排美甲#原本以为换美甲得去美甲店挑半天，现在男友用两分钟就搞定了，真是科技改变生活啊！
144,总裁视野,中国,重庆,重庆,,#问界开启预订万元起#科技发展让汽车不再只是交通工具，更像是生活的好帮手感受它带来的科技魅力，体验科技改变生活的力量#余承东称问界是全能车王#
145,长宁发布,中国,四川,宜宾,微博网页版,【李琴：乡村沃野奏响青春“奋进乐章”】#长宁#在宜宾市长宁县花滩镇大冲村的广袤田野间，李琴的名字家喻户晓，乡亲们谈及她，无不竖起大拇指称赞这位曾在城市拥有安稳工作的青年，毅然决然踏上返乡创业之路，投身肉兔养殖产业她不仅实现了自我人生价值的升华，更如同一盏明灯，引领着乡亲们奔全文
146,_Sylviawu,中国,上海,上海,iPhone客户端,杭州公司出差话说杭州东网约车好方便，科技改变生活
147,上海文艺出版社,中国,上海,上海,微博网页版,探照灯好书、月入围部科技和新知发布，《#技术与魔法#》入围鼓掌内容简介：我们生活在一个被技术统治的世界，个体被定义为一个完全可通约的占位符，就像仓库堆里的一块木材，计量单位前的一个数字，重要的不再是个体的可能、负责、意义，而是有一个随便谁占据那个位置本书提醒我们，这种技全文
148,网球馆看漫画,中国,吉林,白山,HarmonyOS设备,#懂事的男友已开始安排美甲#以前只知道能查资料，现在居然还能设计美甲，这是什么宝藏功能，我直接爱住！生活处处有惊喜，科技真的改变生活！
149,ljns的小颜,中国,福建,泉州,微博网页版,【网评】奋进新征程，共绘发展蓝图十四届全国人大三次会议日上午盛大开幕，国务院总理李强所作的政府工作报告，如同一座航标，为国家发展指引新方向，也在社会各界引发强烈反响报告对过去一年工作的总结全面且务实，用数据和事实说话，清晰展现了我国在复杂多变的国内外形势下，依然在经济发展、全文
150,用户7573613035008,中国,重庆,重庆,荣耀X50,问界带你春游：一场科技与自然的邂逅寒冬褪去，万物复苏，正是春游好时节想要一场说走就走的旅行，又不想被传统燃油车的局限所束缚？问界，这款集科技与豪华于一身的智能电动车，将带你开启一场别样的春游体验打开全景天窗，让温暖的阳光洒满车内，呼吸着清晨新鲜的空气，全文
151,在屋檐下学唱歌的永丰,中国,山东,烟台,HarmonyOS设备,最近想减肥不知道怎么吃，上橙篇问了一下，居然还真给了我一周的减肥食谱科技改变生活啊真是
152,不凋谢月光X,中国,河南,郑州,Android,高科技改变生活
153,乐悠悠结城美柑1985j1976,中国,海南,海口,HUAWEI P40 Pro 5G,#懂事的男友已开始安排美甲#原本以为换美甲得去美甲店挑半天，现在男友用两分钟就搞定了，真是科技改变生活啊！
154,总裁视野,中国,重庆,重庆,,#问界开启预订万元起#科技发展让汽车不再只是交通工具，更像是生活的好帮手感受它带来的科技魅力，体验科技改变生活的力量#余承东称问界是全能车王#
155,姓帅的乐山人,中国,四川,成都,iPhone客户端,大疆无人机新产品到店开箱仪式！机场开启无人机智能运维新时代！！++#数码科技#科技改变生活#大疆无人机成都·成都数码广场姓帅的乐山人的微博视频
156,长宁发布,中国,四川,宜宾,微博网页版,【李琴：乡村沃野奏响青春“奋进乐章”】#长宁#在宜宾市长宁县花滩镇大冲村的广袤田野间，李琴的名字家喻户晓，乡亲们谈及她，无不竖起大拇指称赞这位曾在城市拥有安稳工作的青年，毅然决然踏上返乡创业之路，投身肉兔养殖产业她不仅实现了自我人生价值的升华，更如同一盏明灯，引领着乡亲们奔全文
157,_Sylviawu,中国,上海,上海,iPhone客户端,杭州公司出差话说杭州东网约车好方便，科技改变生活
158,上海文艺出版社,中国,上海,上海,微博网页版,探照灯好书、月入围部科技和新知发布，《#技术与魔法#》入围鼓掌内容简介：我们生活在一个被技术统治的世界，个体被定义为一个完全可通约的占位符，就像仓库堆里的一块木材，计量单位前的一个数字，重要的不再是个体的可能、负责、意义，而是有一个随便谁占据那个位置本书提醒我们，这种技全文
